productid,product name,product supplier,price,quantity,category
TRIM9BSUI2,Balenciaga Track Mid,Balenciaga,971.38,633,Clothing
PD831TRXTO,Bose QuietComfort 35 II,Bose,453.85,518,Electronics
NFCVR218E8,Chromebook C202,Google,118.57,531,Electronics
EB3MA8VUQ3,Pixel XL,Google,336.5,462,Electronics
M0CBMU2EY3,Gucci Monogram GG Supreme Interlocking G,Gucci,251.4,154,Clothing
HNA0PPJ87L,HP ProBook 640,HP,663.73,375,Electronics
YYCBQ7U2MS,Adidas Ultraboost X All Terrain Primeknit,Adidas,751.6,191,Clothing
86WHVY8F53,Bose QuietComfort 35,Bose,584.62,335,Electronics
X2ILWK5UM8,Tommy Hilfiger Kids' Logo Sweater,Tommy Hilfiger,906.47,280,Clothing
NUJF241DX1,Barq's,Coca Cola,295.63,690,Food
YST4A4DB5B,Nike Air Max 720 G,Nike,383.79,56,Clothing
SALYOWWY0F,Alienware Aurora R9,Alienware,653.28,492,Electronics
DXBWSM2VUE,Galaxy Note 20,Samsung,228.24,72,Electronics
B31YDJCVVU,Nike Air Max Tailwind 7,Nike,841.22,418,Clothing
WD3Z4X7ZVP,"MacBook Pro (16-inch, 2022)",Apple,149.28,31,Electronics
8YL8P5JXSP,Schweppes Cherry Juice,Coca Cola,759.02,235,Food
T3XG3L98SC,Sony PlayStation Video,Sony,890.7,100,Electronics
S69UXS0H3K,Bose QuietComfort 35 II,Bose,441.92,99,Electronics
F3HJPYQH29,Nike Air Max Tailwind 5,Nike,912.69,214,Clothing
L6VAI7NKNG,Gucci Monogram,Gucci,205.42,596,Clothing
1EFH28GDDI,Gucci Monogram Embroidered,Gucci,497.19,465,Clothing
6GCOUVHC4S,Tommy Hilfiger Women's Logo Joggers,Tommy Hilfiger,609.05,491,Clothing
O23LCYQJZP,Transformer Book T100TA,Asus,290.07,65,Electronics
Y7UY2OTIZZ,AirPods with Charging Case,Apple,923.9,229,Electronics
QIEEIDR2O7,Schweppes Blackcurrant Juice,Coca Cola,693.83,618,Food
TSOIV8PZMR,Prada suitcase,Prada,762.32,269,Clothing
L7R2PLUMUE,Galaxy Note 9,Samsung,368.0,314,Electronics
SN5BJC5H42,Sony PlayStation Now,Sony,851.63,667,Electronics
HXO2ACEPR9,AirPods Pro with Charging Case (2nd generation),Apple,649.04,257,Electronics
3VK1N290W6,Infinix Hot 4 Pro,Infinix,201.67,5,Electronics
5UIW1E46I0,Barq's Diet Root Beer,Coca Cola,778.79,315,Food
NCNR7AHGKK,Gucci GG Supreme BloomsGucci Tiger Head,Gucci,200.81,391,Clothing
B0LIEGM2ED,Sony PlayStation 4 Pro with HDR,Sony,572.72,466,Electronics
75DMAG29PL,Pixel 2,Google,290.51,272,Electronics
OX8WDC1NQ4,HP ZDesktop,HP,247.19,22,Electronics
926QCGQ9J6,Adidas Ultraboost X Parley Carbon,Adidas,119.45,150,Clothing
1HEJYCAOBF,AirPods Pro with Wireless Charging Case (2nd generation),Apple,403.02,598,Electronics
UDVA2ZC6ON,Sony PlayStation 4 Slim with HDR,Sony,294.56,639,Electronics
B79DPD1O8Q,Tecno Phantom 7,Tecno,961.38,235,Electronics
VQAXCA74IO,iPhone 12 Mini,Apple,185.7,555,Electronics
G6X2X5XY7T,Rolex Submariner Ceramic,Rolex,977.56,51,Clothing
7Q44IP60VJ,Prada top,Prada,220.82,459,Clothing
EQRDGEJO0G,Sony PlayStation 4 with 4K and HDR,Sony,276.79,88,Electronics
ICFRCVHNJI,Balenciaga Race Runner 3,Balenciaga,518.87,208,Clothing
36SNBYLZMP,Chromebook Flip,Google,268.94,338,Electronics
03YB8ZWJYM,Coca-Cola with Lime,Coca Cola,895.13,14,Food
923LRH82M0,Adidas Ultraboost X 4D Carbon,Adidas,857.95,60,Clothing
ZU2ZH4762G,Prada mitten,Prada,511.41,12,Clothing
CKEGCY8WUN,Prada shoulder bag,Prada,622.55,541,Clothing
NRPE2NKMAV,Transformer Pad TF300,Asus,785.9,656,Electronics
YNMXTJL3X1,Prada eyewear,Prada,928.98,636,Clothing
C9QL8VRJQP,ZenFone 3 Ultra,Asus,745.6,442,Electronics
5P7T6GXJR3,Nike Air Max Tailwind 4,Nike,161.73,177,Clothing
3NY1KTCMRL,iPhone 11 Pro,Apple,616.79,21,Electronics
E6U6ZNKVY1,Galaxy Tab S7,Samsung,409.33,127,Electronics
4VQCH4A45A,AirPods Pro with Charging Case (2nd generation),Apple,792.4,23,Electronics
7FGE5621WC,HP ProBook 440,HP,557.7,177,Electronics
79KMB1HRO4,Microsoft HoloLens,Microsoft,762.3,155,Electronics
0K0X1O46IC,Fanta Blue Raspberry,Coca Cola,540.18,412,Food
FMCB3WO8CV,AirPods with Wireless Charging Case (2nd generation),Apple,260.31,250,Electronics
BAOISJB91X,Balenciaga Race Runner 2,Balenciaga,827.44,69,Clothing
X6T3ZXAMRK,MacBook (2016),Apple,974.11,595,Electronics
KZQITU8L6T,iPhone 11 Pro Max,Apple,829.97,373,Electronics
DQWTD39LVQ,Balenciaga Track Low 3,Balenciaga,284.41,277,Clothing
HYFCMM2GKH,ZenFone 5,Asus,726.16,600,Electronics
W26T0WPE6F,Alienware Graphics Amplifier R3,Alienware,232.52,326,Electronics
IPPA9B9MKQ,Infinix Hot 9,Infinix,659.81,570,Electronics
RMOLMKWVPQ,HP ZBook Gaming Create,HP,247.59,17,Electronics
0RHDTPWFRD,iPhone 5,Apple,817.53,608,Electronics
LTO41JAKKS,Gucci Monogram Embroidered,Gucci,599.95,640,Clothing
0QBC24BGGA,Prada heel,Prada,567.87,478,Clothing
EWH1RRFKZE,Barq's Root Beer,Coca Cola,669.0,12,Food
5TS81J17FI,Balenciaga Track Trainer 3,Balenciaga,168.98,686,Clothing
IBKDE643Q0,Balenciaga Race Runner 3,Balenciaga,251.84,461,Clothing
YMITIRCT5V,Infinix Zero 2,Infinix,224.87,698,Electronics
A1M6N0Y4S6,Fanta Pineapple,Coca Cola,780.99,187,Food
0HHI9BVL5B,Alienware Graphics Amplifier R2,Alienware,505.4,510,Electronics
A0213N8N54,Tecno Spark 3,Tecno,627.74,569,Electronics
3SDDV0RQIW,Rolex Oyster Perpetual Explorer,Rolex,246.26,441,Clothing
K7CJIMKHTK,Prada satchel,Prada,747.44,383,Clothing
M5XT077FV9,Transformer Pad TF300TG,Asus,242.9,371,Electronics
ZO8W7FD4MX,PadFone S,Asus,366.04,300,Electronics
FKHFB9IZ91,Barq's Root Beer,Coca Cola,435.55,632,Food
S0K9X07U4I,Rolex Oyster Perpetual Sea-Dweller,Rolex,415.33,405,Clothing
7Y4HV6Y5FS,Prada sweater,Prada,685.5,340,Clothing
2GH9L838VX,Schweppes Tomato Juice,Coca Cola,432.22,428,Food
P0WOV7OYYS,Tommy Hilfiger Men's Logo Hoodie,Tommy Hilfiger,674.92,16,Clothing
2F22G03MZ5,HP Envy x2,HP,885.18,285,Electronics
D61W78P6P8,Prada body mist,Prada,611.21,227,Clothing
BKHUNCLE5K,"MacBook Pro (15-inch, 2019)",Apple,923.58,86,Electronics
AXFVSEGPW2,AirPods (2nd generation),Apple,519.21,200,Electronics
U74PYJMEM4,Tecno Boom J3,Tecno,560.97,68,Electronics
787WW8W4AW,Microsoft Dynamics 365 Marketing,Microsoft,489.85,399,Electronics
Z6A99J305G,Prada mule,Prada,475.23,195,Clothing
7E9HMNERRJ,HP Stream Gaming,HP,637.48,447,Electronics
VE0O4UQDZX,Tecno Camon C7,Tecno,330.16,608,Electronics
4UNCL78LVE,Schweppes Lemonade,Coca Cola,406.92,607,Food
DMFF2NVNT6,Galaxy Tab S,Samsung,186.94,200,Electronics
IRS7QBBA26,"MacBook Pro (15-inch, 2009)",Apple,884.29,554,Electronics
9WQMCFJYE5,Gucci Horsebit,Gucci,927.42,7,Clothing
LSROJQUVF9,Prada crossbody bag,Prada,930.19,442,Clothing
9182W0YH4Q,Microsoft HoloLens,Microsoft,552.14,104,Electronics
RXVVFZ24VP,iPhone 5,Apple,422.58,383,Electronics
461DKJE7NJ,Schweppes Blueberry Juice,Coca Cola,353.82,0,Food
UUZBKAUY07,Alienware Aurora R8,Alienware,371.31,693,Electronics
5XURJXESIO,Nike Air Max Tailwind IV,Nike,630.91,651,Clothing
QW294EFWC6,Galaxy S21,Samsung,146.4,475,Electronics
W1UYC7119L,Barq's French Vanilla Creme Soda,Coca Cola,801.07,372,Food
FOS58C6CPL,Alienware Elite Gaming Mousepad,Alienware,700.84,390,Electronics
3T4I7N9360,Rolex Datejust 41,Rolex,429.15,34,Clothing
XKNOG5XTNR,iPhone 11,Apple,998.99,635,Electronics
IE59KGSU7Z,Galaxy Tab S5e,Samsung,263.6,117,Electronics
X7TVCR9CH6,AirPods Pro (2nd generation),Apple,769.4,41,Electronics
5W073FRI2P,Prada mitten,Prada,438.39,242,Clothing
2EPN63495L,"MacBook Pro (15-inch, 2020)",Apple,772.65,457,Electronics
CI2GTNMG6H,Microsoft Teams,Microsoft,564.27,172,Electronics
H7HDF5NHTO,Chromebook R11 CB5-132T,Google,958.5,189,Electronics
EH4YA2R43X,HP EliteBook Gaming,HP,257.33,389,Electronics
6T3ZF37KT4,Prada loafer,Prada,958.2,673,Clothing
GDITDNW27W,Tecno Boom J8,Tecno,919.81,28,Electronics
H6PX6S8IKI,HP Spectre Gaming,HP,447.05,149,Electronics
MXQWYRQ7OX,Nike Air Max 270 React W,Nike,150.78,533,Clothing
APC69KX822,Transformer Pad TF300T,Asus,956.79,689,Electronics
CIFPG7BMOJ,HP ProBook 660,HP,870.33,559,Electronics
HPQEEQIV3P,Alienware 17,Alienware,309.64,316,Electronics
S4PFT69IZB,iPhone 5s,Apple,941.89,330,Electronics
WQ2PTXT0HJ,Adidas Ultraboost Uncaged,Adidas,671.02,179,Clothing
EQO5FC3AQC,Adidas Ultraboost X Clima Chill,Adidas,398.58,661,Clothing
EKGSFWHV5P,Galaxy S22,Samsung,193.14,624,Electronics
DBPGYU7FBZ,Microsoft Xbox,Microsoft,757.09,687,Electronics
SU2UAJ19MF,HP ZBook,HP,533.59,571,Electronics
MFVU1VI9MT,Microsoft Dynamics 365,Microsoft,566.42,212,Electronics
65BOPLFTS6,Schweppes Blackcurrant Juice,Coca Cola,683.63,218,Food
P4MIOTHYTC,Prada heel,Prada,670.55,69,Clothing
GXPNYS19UR,Rolex Submariner Yellow Gold,Rolex,412.79,665,Clothing
WKLEQM07KN,Gucci Horsebit,Gucci,413.32,295,Clothing
IHMXG5S8C3,Rolex Oyster Perpetual Date,Rolex,242.85,443,Clothing
S1PTA38P0W,Tecno Camon CX,Tecno,688.18,457,Electronics
M0EFHX3NF4,Tecno Camon 15 Premier,Tecno,793.65,511,Electronics
WNDSHPJB7H,Tecno Camon 12,Tecno,757.08,688,Electronics
YVGJMI64ZC,Rolex Oyster Perpetual Sky-Dweller,Rolex,908.36,332,Clothing
NYC62K7CUL,Tecno Pouvoir 3 Plus,Tecno,894.28,574,Electronics
IHA77XI4AL,Tommy Hilfiger Kids' Logo Hoodie,Tommy Hilfiger,875.47,38,Clothing
YTCA4RGDAW,Adidas Ultraboost ST,Adidas,671.22,62,Clothing
VD8F445GDZ,Sony PlayStation Remote Play for Switch,Sony,348.21,174,Electronics
CJMN6275WV,Galaxy S20,Samsung,360.16,608,Electronics
GLEONR460J,Transformer Book T100TAN,Asus,350.95,56,Electronics
3ZUF9AIQUV,Sony PlayStation 4 with HDR,Sony,754.34,533,Electronics
JSAY42VJ0T,iPhone SE (2020),Apple,351.06,21,Electronics
4RAA496JB3,ZenFone 7 Pro,Asus,683.44,331,Electronics
OE4NYI1CF5,Transformer Pad TF701,Asus,242.83,183,Electronics
Y29M4LORF5,"MacBook Pro (15-inch, 2014)",Apple,766.59,556,Electronics
ZQ9UKNPK28,Alienware Alpha R3,Alienware,282.86,437,Electronics
NBRN8BLC39,Fanta Pineapple,Coca Cola,125.32,305,Food
PHVEYSL929,Prada mitten,Prada,547.33,6,Clothing
ORAQO1WKH1,Tecno Camon CX,Tecno,686.27,200,Electronics
OODIVWLD7J,Nike Air Max 720 G,Nike,708.18,358,Clothing
POE04QEGP6,Rolex Datejust 31mm,Rolex,978.48,204,Clothing
9TX10FB5OM,Bose QuietComfort 35 II Noise Cancelling Wireless Headphones,Bose,472.33,118,Electronics
6UZID8LY2V,MacBook (2008),Apple,771.12,311,Electronics
XYQM94IBCX,Pixel 3 XL,Google,418.88,165,Electronics
IN596QK1C8,Chromebook XE303C12,Google,612.82,284,Electronics
3X4Z7UPZD8,ZenFone 8,Asus,973.24,162,Electronics
S74KTC4XIQ,Tecno Pouvoir 3 Plus,Tecno,310.17,656,Electronics
WD9A6GNENJ,Bose QuietComfort 35 II Noise Cancelling Headphones,Bose,239.39,63,Electronics
DSKB438A8A,HP ProBook x360,HP,614.99,486,Electronics
NW1I2OVY2L,Tecno Boom J8,Tecno,952.26,336,Electronics
16KL8RWTRQ,Balenciaga Track Field 2,Balenciaga,389.5,77,Clothing
M8AKZYQY28,Rolex Oyster Perpetual,Rolex,659.05,536,Clothing
454M0Q9U48,Schweppes Bitter Lemon,Coca Cola,376.18,44,Food
JQ7QZ7Q6SY,Chromebook XE501C13,Google,750.48,350,Electronics
N04MUX0BDT,Tecno Camon C7,Tecno,286.89,359,Electronics
LLXZJECGJR,Infinix Zero 3,Infinix,778.85,33,Electronics
4MHB8MADEV,Gucci Monogram GG Supreme Jacquard,Gucci,451.22,427,Clothing
VNPIJSUUHI,HP ZBook Gaming Fury,HP,742.24,520,Electronics
UFPNVM1KDI,Galaxy Z Fold 2,Samsung,704.19,383,Electronics
LIRPO3GXGG,AirPods with Charging Case (1st generation),Apple,233.72,59,Electronics
NFFHXS7WTL,Galaxy Tab S2,Samsung,479.03,359,Electronics
OEBE9ND9P6,Fanta Orange,Coca Cola,111.3,165,Food
JW7SKF1UDJ,Sony PlayStation 4 Pro,Sony,511.17,23,Electronics
UXL2M8Y7BG,Pixel 2,Google,628.27,111,Electronics
ARZLVQ0E8Y,Sony PlayStation 4 Slim with HDR,Sony,810.06,1,Electronics
SBIUVOR80A,ZenFone 7,Asus,154.25,519,Electronics
AT0TQ1L5Z9,Nike Air Max Tailwind 9,Nike,420.45,474,Clothing
6A5ONPN7UL,HP Omen x2,HP,269.1,291,Electronics
LQQCENMOQA,Gucci Monogram,Gucci,474.9,204,Clothing
9WVC10VGYR,ZenFone,Asus,252.21,134,Electronics
T89EHFJJ17,Transformer Pad TF300TG,Asus,108.94,638,Electronics
QX52D2XU8K,Alienware Alpha R3,Alienware,106.04,274,Electronics
9QN36HR2VR,Sony PlayStation 4 Slim with 4K,Sony,185.61,133,Electronics
0JSS1BLO5G,"MacBook Pro (13-inch, 2015)",Apple,457.79,561,Electronics
LTSPCO47W9,Bose QuietComfort 35 II Noise Cancelling Wireless Bluetooth Headset,Bose,811.07,132,Electronics
AFNLND04HZ,Nike Air Max 90,Nike,392.37,661,Clothing
O8A5J47BNY,Adidas Ultraboost X 3D Tech,Adidas,946.47,299,Clothing
U76LEIJMRR,"MacBook Pro (15-inch, 2021)",Apple,525.71,435,Electronics
72VCXOT6P8,Gucci Jackie O,Gucci,771.1,621,Clothing
FQE0V27BLZ,Sony PlayStation 5 with SSD and Ultra HD Blu-ray and 4K,Sony,794.18,435,Electronics
UZWHBKIIXD,Coca-Cola,Coca Cola,944.32,465,Food
EVW6OB0FBF,Bose QuietComfort 35 II Noise Cancelling Wireless Bluetooth Headset,Bose,280.93,480,Electronics
DDDSAI3QOQ,Balenciaga Track Trainer,Balenciaga,659.86,339,Clothing
A19J2E1C9Q,Galaxy S7 Edge,Samsung,377.71,171,Electronics
A6VJGQGLX6,Coca-Cola Life,Coca Cola,889.77,486,Food
U2OTT9L0H5,"MacBook Pro (15-inch, 2019)",Apple,886.74,623,Electronics
ZD1RBG7CHH,Infinix Hot 4 Pro,Infinix,815.7,96,Electronics
IZ1KIYIK9O,Pixel 4a (5G),Google,337.21,125,Electronics
P3ZASLHPU1,Transformer Pad Infinity TF700T,Asus,573.72,166,Electronics
JE16JDK0K0,Infinix Note 7,Infinix,594.76,289,Electronics
IIGNGIZ46A,MacBook (2018),Apple,481.21,298,Electronics
92H8OP9EV3,Bose QuietComfort 35 II Noise Cancelling Bluetooth Earbuds,Bose,342.45,633,Electronics
T3E0YGBKIF,Galaxy S9,Samsung,474.34,144,Electronics
6UFQZUG02N,Nike Air Max 200,Nike,437.41,500,Clothing
IABIXMUIW7,Infinix Smart 3 Plus,Infinix,182.68,3,Electronics
6YMZB7T9DK,Balenciaga Track Jacket,Balenciaga,665.14,642,Clothing
ZI0MT1F9CC,HP ProBook Gaming 430,HP,309.2,666,Electronics
PDZJMSRKKR,Transformer Book T100,Asus,999.89,408,Electronics
U4LV29O6EL,Tecno Camon C3,Tecno,748.45,122,Electronics
XS8NF3Y4UB,Pixel 4 XL,Google,392.9,113,Electronics
YSSFJ83XQE,Nexus One,Google,319.49,124,Electronics
CFMRW4HRVO,Gucci Monogram Embroidered,Gucci,751.73,69,Clothing
Q8TJCQ168E,Pixel 3a XL,Google,916.37,180,Electronics
4N0KDAULDN,Galaxy Note 20 Ultra,Samsung,119.73,527,Electronics
6SJN194S7P,Adidas Ultraboost 19,Adidas,575.88,136,Clothing
N8K86LJTYI,Sony PlayStation 5 with 4K and HDR,Sony,206.43,494,Electronics
RZQLGRVSCQ,Prada luggage,Prada,489.62,426,Clothing
LH655ZBEWH,Microsoft Word,Microsoft,152.25,582,Electronics
PBW25C1HJ3,Alienware Alpha ASM100,Alienware,849.27,284,Electronics
YE9XLMXRJ4,Alienware Alpha R3,Alienware,661.39,304,Electronics
EYMSETV5O7,AirPods Pro with Wireless Charging Case (1st generation),Apple,993.77,387,Electronics
E8NMTKBQAA,Infinix Smart 5,Infinix,461.76,145,Electronics
V7ZY38964Q,Adidas Ultraboost,Adidas,886.77,578,Clothing
1DJK2SWDPA,Rolex Oyster Perpetual Milgauss,Rolex,908.1,422,Clothing
2EPOBMU301,Nike Air Max Tailwind 8,Nike,366.94,185,Clothing
QI31CXANIC,Rolex Submariner Steel,Rolex,566.36,110,Clothing
BSP5ZNS5Q6,Alienware Pro Gaming Mouse,Alienware,169.53,514,Electronics
SJOEUVKP0G,HP Omen Gaming,HP,887.4,277,Electronics
ZF5HNRNOIS,"MacBook Pro (13-inch, M1, 2020)",Apple,313.99,111,Electronics
I8ZW8BS5ZB,Prada lingerie,Prada,716.98,520,Clothing
XRZ4RRJ9X0,AirPods Max with Smart Case,Apple,333.95,161,Electronics
8QREXARCBC,Nike Air Max Tailwind 5,Nike,674.15,12,Clothing
UX71WQ8VCN,Tecno Camon C7,Tecno,436.78,120,Electronics
UL1NO7DACI,AirPods Max (1st generation),Apple,155.13,274,Electronics
NW0QJU7TEW,Microsoft Dynamics 365 Finance and Operations,Microsoft,270.2,338,Electronics
UH81VEBKEL,ZenFone,Asus,155.5,131,Electronics
6V9OZ0JDWA,Alienware m15,Alienware,197.43,678,Electronics
NH6J705PSI,Transformer Book Flip TP550LJ,Asus,479.12,76,Electronics
D598XV0RWT,Prada shoulder bag,Prada,174.57,547,Clothing
0ZO9Y046SP,Fanta,Coca Cola,892.08,163,Food
XHJGWW3UPE,HP ZBook Studio,HP,352.29,583,Electronics
G6PNW8KT5M,Microsoft Xbox,Microsoft,486.25,391,Electronics
6G5Q777FAS,iPhone 14,Apple,895.73,237,Electronics
RCGKJUSRFQ,Gucci Jackie O,Gucci,872.89,673,Clothing
3DVUJKD2UA,Balenciaga Track Jacket 4,Balenciaga,310.2,558,Clothing
1SOAVABKWU,Nike Air Max 90 Ultra 2.0 SE,Nike,500.8,262,Clothing
3UJJP3VKRQ,Schweppes Russian Wildberry,Coca Cola,600.63,218,Food
J7GVA3HVVI,HP Pavilion Desktop,HP,371.39,614,Electronics
E7R6ZFHLBF,Adidas Ultraboost X Clima Primeknit,Adidas,468.47,92,Clothing
T9LGTQFW6C,Galaxy Tab S,Samsung,845.31,451,Electronics
HX2S2FOEZ8,Chromebook R11 CB5-132T,Google,306.0,259,Electronics
HV006K2P28,Infinix Smart 2,Infinix,831.56,300,Electronics
JY9PC9NGGW,ZenFone 4,Asus,257.23,548,Electronics
FX6SQD8Y76,Prada sunglasses,Prada,566.64,419,Clothing
RNYPJLK6IN,HP ZBook Gaming Create,HP,870.52,624,Electronics
JEJ1JCQ2WP,Tecno Pouvoir 3 Plus,Tecno,401.58,518,Electronics
QKCVHJV66C,Sony PlayStation 4 with 4K and HDR,Sony,464.26,279,Electronics
L94PFZZ1LV,Balenciaga Track Trainer,Balenciaga,995.39,342,Clothing
NPZ8KR39BC,Nike Air Max 720-818,Nike,660.01,72,Clothing
GKI2DQWQWK,HP ZBook Gaming Studio x2,HP,221.66,291,Electronics
Z87G05R38S,Alienware Elite Gaming Mouse,Alienware,103.74,382,Electronics
AIN0GAG35W,Pixel 4a (5G),Google,599.57,571,Electronics
356N5CWLQO,HP Spectre Gaming,HP,393.61,199,Electronics
1UWQO5KBI7,Prada mule,Prada,721.48,439,Clothing
OE340Z9WEZ,Sony PlayStation 5 with SSD and HDR,Sony,358.68,207,Electronics
9908ERQIEQ,Transformer Book T100,Asus,181.77,549,Electronics
AARH2GFSXB,Infinix Note 5,Infinix,333.83,298,Electronics
E67EJTRZCM,Rolex Datejust 41,Rolex,576.64,598,Clothing
9QM5VWNPJT,Gucci Monogram Canvas,Gucci,171.17,107,Clothing
LJVPUBZBB4,Rolex Submariner Platinum,Rolex,447.91,464,Clothing
8202A8YZI0,Balenciaga Track 3,Balenciaga,676.81,112,Clothing
HEAZQ2R7FT,Adidas Ultraboost X Parley Primeknit,Adidas,719.97,107,Clothing
7D34YD3PBD,MacBook (2013),Apple,626.04,617,Electronics
2MSEVLI9TB,Galaxy Tab S7+,Samsung,578.3,611,Electronics
5H67RTAT29,Sony PlayStation Now,Sony,391.36,91,Electronics
EJ7TBS2FO4,Galaxy Tab S,Samsung,454.73,114,Electronics
59WWW8VFUL,Diet Coke,Coca Cola,872.84,667,Food
FK2S8SZ1CF,Transformer Book T100,Asus,770.91,176,Electronics
3XJ42WDRNR,Pixel 7,Google,778.55,115,Electronics
XAC2KDL49B,Chromebook C202,Google,635.08,573,Electronics
MCGK816MPB,Prada chemise,Prada,273.89,597,Clothing
MW1BGR3BIR,Bose QuietComfort 35 Noise Cancelling Bluetooth Headphone,Bose,240.43,595,Electronics
ERPJ4R6G4N,Tommy Hilfiger Men's Logo Joggers,Tommy Hilfiger,261.31,91,Clothing
N03I6W0J7F,Prada snow boot,Prada,675.31,613,Clothing
67I24ICX0S,Microsoft Word,Microsoft,576.24,612,Electronics
EZ2265ETQK,Microsoft Dynamics 365 Human Resources,Microsoft,955.19,228,Electronics
23KB5PTAIE,Infinix Zero 8i,Infinix,370.98,345,Electronics
RTF89E9IWS,iPhone1,Apple,373.44,422,Electronics
TI9W79VCCL,Tommy Hilfiger Kids' Logo Jacket,Tommy Hilfiger,816.53,211,Clothing
40UACXJIEE,Microsoft Skype,Microsoft,910.61,413,Electronics
0RDAWNNJRP,Adidas Ultraboost X Clima Primeknit,Adidas,887.15,652,Clothing
2SN78U2ZP1,Sony PlayStation 5 with 4K,Sony,622.22,158,Electronics
PK1R21T3MQ,Transformer Book T100CHI,Asus,330.09,684,Electronics
WSZ6R7ZK7B,Nike Air Max 270 React SE,Nike,861.72,162,Clothing
O2OEG7NLDP,"MacBook Pro (15-inch, 2008)",Apple,535.56,334,Electronics
B32970ND5J,Prada checked luggage,Prada,168.8,360,Clothing
5H6UEPZF4B,Galaxy S7 Edge,Samsung,446.28,127,Electronics
3ZFDDK2875,Rolex Datejust 31,Rolex,157.16,63,Clothing
9G1PZZEKWN,Prada stocking,Prada,944.44,578,Clothing
6SPHMWRNVE,Prada lingerie,Prada,916.99,598,Clothing
LV16LMA51O,HP Pavilion x2,HP,164.74,687,Electronics
YUDM0APH19,Coca-Cola Vanilla,Coca Cola,937.71,157,Food
W7D96D9P67,Sony PlayStation 4 Pro with HDR,Sony,972.68,1,Electronics
HMRQT6YKU9,Rolex Day-Date,Rolex,994.35,46,Clothing
S8E2875N90,Bose QuietComfort 35 II Noise Cancelling Headset,Bose,882.5,109,Electronics
B5ZODZLB2K,Microsoft Dynamics SL,Microsoft,862.41,390,Electronics
X4LC1OHO5P,Prada flat,Prada,411.74,694,Clothing
AQ4YVK50GJ,Tecno Camon C1,Tecno,642.39,583,Electronics
JHUP77LUIY,HP ProBook Gaming 640,HP,968.42,609,Electronics
IE3L8G662W,"MacBook Pro (15-inch, 2012)",Apple,590.68,328,Electronics
G00MRCPVJS,HP Elite,HP,864.32,257,Electronics
KNX1618B75,"MacBook Pro (15-inch, 2011)",Apple,827.24,65,Electronics
ZWI5VQ0XHH,Gucci Horsebit,Gucci,999.8,316,Clothing
C3M57623Q3,"MacBook Pro (15-inch, 2010)",Apple,663.33,228,Electronics
FYFWJ5THZY,Prada tote bag,Prada,119.66,174,Clothing
LVL4135BBS,Nexus 4,Google,946.28,480,Electronics
6EQLSOG0EN,Pixel 6,Google,107.07,98,Electronics
WJEJP7S25E,Tecno Spark 5 Pro,Tecno,830.23,356,Electronics
MIX9BXND84,Fanta Strawberry,Coca Cola,846.27,698,Food
K6WC41DRM1,Galaxy Tab S5e,Samsung,974.73,64,Electronics
S83PVY8YKF,Rolex Submariner Gold,Rolex,676.69,621,Clothing
VVB834CGPR,Nexus One,Google,553.9,320,Electronics
RHARWKW80T,Sony PlayStation Remote Play,Sony,542.39,39,Electronics
72W296GW7M,Alienware Advanced Gaming Keyboard,Alienware,613.65,411,Electronics
LVG0GBQ7CK,Pixel 4a,Google,950.26,59,Electronics
0OTL49MS4V,Gucci Monogram GG Supreme Embroidered,Gucci,718.46,577,Clothing
GDHQIWOP74,Fanta Orange,Coca Cola,552.51,654,Food
LKR07SYA09,HP ZDesktop,HP,620.53,214,Electronics
LH8LC99OWX,Sony PlayStation 4 Slim with 4K,Sony,290.23,160,Electronics
